blue_win,blue_kills,blue_deaths,blue_assists,blue_kda,red_kills,red_deaths,red_assists,red_kda,blue_Tank,red_Tank,blue_Mage,red_Mage,blue_Assassin,red_Assassin,blue_Marksman,red_Marksman,blue_Support,red_Support,blue_Fighter,red_Fighter,rank_score_red,rank_score_blue
0,44,46,106,3.260869565217391,46,44,93,3.159090909090909,0,0,904812,597034,986040,0,0,341262,549546,344970,630774,252064,32.2,30.333333333333332
1,38,21,69,5.095238095238095,21,38,31,1.368421052631579,0,0,420960,384603,257536,556023,256672,207555,420960,105348,257536,180348,36.0,37.0
0,17,33,28,1.3636363636363635,33,17,56,5.235294117647059,162988,0,523264,254832,0,280602,341577,552288,103992,163716,444083,418548,36.0,36.8
0,14,33,21,1.0606060606060606,33,14,47,5.714285714285714,0,215040,92059,0,303543,0,114024,0,92059,118560,0,333600,35.5,36.0
1,47,21,55,4.857142857142857,21,47,29,1.0638297872340425,0,104688,196185,165928,640559,0,444374,173304,117228,232528,0,104688,35.0,34.0
0,16,30,32,1.6,30,16,61,5.6875,187945,374790,166628,325236,172172,210360,103980,162918,166628,114876,360117,374790,37.0,37.0
0,31,37,43,2.0,37,31,43,2.5806451612903225,0,0,336978,134225,370442,831013,359527,243408,119268,134225,370442,587605,37.0,36.6
0,8,21,12,0.9523809523809523,21,8,30,6.375,167818,0,277566,312546,172914,220140,104652,176190,63980,63010,167818,469676,35.0,39.2
0,24,31,20,1.4193548387096775,31,24,50,3.375,0,0,254256,425942,582760,735408,0,981408,106788,179942,651744,0,38.0,34.4
1,40,40,62,2.55,40,40,52,2.3,302362,335448,303433,383562,416538,469674,0,350460,303433,248448,718900,1188684,35.2,36.8
0,3,20,2,0.25,20,3,18,12.666666666666666,0,0,23387,33640,103896,0,36816,53424,23387,0,0,0,34.8,34.8
0,16,26,21,1.4230769230769231,26,16,51,4.8125,198075,347562,110160,341562,411600,247680,141128,201825,110160,139737,609675,595242,37.0,34.0
0,21,43,38,1.372093023255814,43,21,50,4.428571428571429,0,172172,259520,0,0,0,313554,200475,0,0,259520,372647,31.75,28.0
0,18,25,36,2.16,25,18,60,4.722222222222222,0,0,288076,613261,201165,0,132600,216270,86911,144287,0,252704,36.0,36.0
0,13,22,17,1.3636363636363635,22,13,24,3.5384615384615383,0,0,155649,179396,179634,376035,113592,135213,155649,179396,0,376035,39.0,35.0
0,16,26,29,1.7307692307692308,26,16,43,4.3125,281316,204360,105576,116844,412116,249280,248288,249280,105576,116844,445144,204360,36.0,37.6
0,9,19,11,1.0526315789473684,19,9,25,4.888888888888889,19068,50184,131110,50184,63780,107040,0,37960,150178,32720,63780,139760,27.0,40.0
0,13,29,18,1.0689655172413792,29,13,42,5.461538461538462,61670,0,177520,259880,82720,139737,82720,279448,0,104148,61670,248084,36.4,34.4
1,33,12,38,5.916666666666667,12,33,14,0.7878787878787878,0,180496,379902,52110,110796,72870,113124,72870,379902,52110,110796,180496,29.0,29.0
1,41,16,46,5.4375,16,42,22,0.9047619047619048,91091,148681,453243,204284,0,92444,170688,314108,453243,68160,91091,148681,30.0,29.0
0,12,28,13,0.8928571428571429,28,12,24,4.333333333333333,25753,90057,35872,150961,169610,0,141332,72800,0,84821,25753,90057,29.0,21.0
