blue_win,blue_kills,blue_deaths,blue_assists,blue_kda,red_kills,red_deaths,red_assists,red_kda,blue_Tank,red_Tank,blue_Mage,red_Mage,blue_Assassin,red_Assassin,blue_Marksman,red_Marksman,blue_Support,red_Support,blue_Fighter,red_Fighter,rank_score_red,rank_score_blue
0,22,42,31,1.2619047619047619,42,22,59,4.590909090909091,0,343332,436436,435451,344540,284410,344260,0,111216,435451,200070,627742,38.4,38.4
0,9,17,13,1.2941176470588236,17,9,21,4.222222222222222,0,0,71370,220864,114024,143715,104892,143715,176262,83545,114024,137319,36.8,36.8
1,50,29,86,4.689655172413793,29,50,29,1.16,592501,92224,283390,209070,249712,166894,176890,209070,176890,0,558823,259118,36.8,38.4
0,16,24,21,1.5416666666666667,24,17,45,4.0588235294117645,67880,0,147827,92884,0,207880,187015,196957,66460,146991,67880,65030,36.8,37.6
1,24,18,49,4.055555555555555,18,24,24,1.75,110856,67530,376123,570270,377658,132678,373953,374940,275104,195330,215580,200208,36.8,39.2
0,1,14,2,0.21428571428571427,14,1,16,30.0,54972,34648,70728,68270,0,166265,36192,83611,34536,68270,54972,117302,39.2,38.4
1,32,17,28,3.5294117647058822,17,32,24,1.28125,0,0,137644,188762,38616,72970,234876,50283,176260,49500,0,0,36.8,38.4
0,14,27,18,1.1851851851851851,27,14,35,4.428571428571429,173164,342804,146601,0,0,201555,132899,140348,0,0,319765,544359,40.0,40.0
0,22,32,39,1.90625,32,22,54,3.909090909090909,582418,576175,0,448400,0,0,0,239120,0,209280,474586,576175,37.6,37.6
1,38,41,70,2.6341463414634148,41,38,57,2.5789473684210527,139165,162246,468831,147771,477025,237280,482933,198555,613904,0,0,547297,39.2,36.8
0,29,34,44,2.1470588235294117,34,29,54,3.0344827586206895,606979,0,212550,388011,0,597500,212475,857068,357344,388011,462185,0,40.0,37.6
0,28,27,53,3.0,27,28,29,2.0,0,0,406016,516355,244384,215130,284444,654064,406016,208485,244384,0,38.4,36.8
0,9,23,11,0.8695652173913043,23,9,30,5.888888888888889,139542,142298,0,255398,61750,103224,0,68840,0,186558,201292,245522,39.2,39.2
1,23,15,35,3.8666666666666667,15,23,19,1.4782608695652173,81576,201799,167132,0,314071,135694,312853,135980,81576,0,0,337493,40.0,40.0
0,8,27,10,0.6666666666666666,27,8,42,8.625,113352,86680,174258,144014,206111,142454,68230,0,54882,0,200087,286468,40.0,39.2
1,30,14,44,5.285714285714286,14,30,21,1.1666666666666667,0,92169,0,0,538826,179546,381242,226716,109152,69110,274408,208449,36.8,38.4
1,26,14,37,4.5,14,26,29,1.6538461538461537,71600,0,144690,107148,443469,234816,162680,110760,0,169248,370379,165720,40.0,40.0
0,6,20,10,0.8,20,6,24,7.333333333333333,0,0,189559,93071,50139,86141,144315,81356,37304,139871,71460,132941,39.2,38.4
1,38,15,54,6.133333333333334,15,38,16,0.8157894736842105,92235,0,160300,104952,351162,175800,340354,114552,115368,61920,378711,113880,39.2,40.0
1,30,23,58,3.8260869565217392,23,30,31,1.8,342054,105564,261632,469880,247792,0,528598,598039,117600,215640,721286,105564,39.2,40.0
0,33,48,55,1.8333333333333333,48,33,76,3.757575757575758,0,197835,358781,211245,689113,0,0,243344,147836,454589,689113,197835,36.0,36.8
